year,Region name,Population in poverty (billions),Proportion of the population in poverty,poverty line (2017 PPP)
2002,East Asia & Pacific,0.615449625875167,0.332471254864735,2.15
2003,East Asia & Pacific,0.558928115943916,0.299396577159239,2.15
2004,East Asia & Pacific,0.494040161138916,0.262447438455967,2.15
2005,East Asia & Pacific,0.410056792270645,0.216037225614993,2.15
2006,East Asia & Pacific,0.40277963994196,0.210448252153605,2.15
2007,East Asia & Pacific,0.361921446616608,0.187518629896031,2.15
2008,East Asia & Pacific,0.343125960030805,0.176287662756184,2.15
2009,East Asia & Pacific,0.305169308643188,0.155458939551926,2.15
2010,East Asia & Pacific,0.26363547599444,0.133163755304968,2.15
2011,East Asia & Pacific,0.206930980930363,0.103650148231288,2.15
2012,East Asia & Pacific,0.177521733162154,0.0881551159306787,2.15
2013,East Asia & Pacific,0.0912094207415419,0.0449078366245885,2.15
2014,East Asia & Pacific,0.0732131916049349,0.0357538581690107,2.15
2015,East Asia & Pacific,0.0557041706146078,0.0269921423342668,2.15
2016,East Asia & Pacific,0.0466100004372272,0.022415377322478,2.15
2017,East Asia & Pacific,0.0399770549110564,0.0190813765192162,2.15
2018,East Asia & Pacific,0.0322193672399999,0.0152775539324284,2.15
2019,East Asia & Pacific,0.0238304968192931,0.0112375666388395,2.15
2020,East Asia & Pacific,0.692618423896895,0.325126232298748,6.85
2020,East Asia & Pacific,0.181289383143235,0.0851001533651064,3.65
2020,East Asia & Pacific,0.0343642361886222,0.0161311253820967,2.15
2021,East Asia & Pacific,0.65710250097449,0.307451134466946,6.85
2021,East Asia & Pacific,0.170575436373837,0.0798103969282664,3.65
2021,East Asia & Pacific,0.0325132643714941,0.0152126038196705,2.15
2022,East Asia & Pacific,0.638805169181595,0.298100303931751,6.85
2022,East Asia & Pacific,0.160211560779632,0.0747631942662191,3.65
2022,East Asia & Pacific,0.0289387624780657,0.0135043583025043,2.15
2002,Europe & Central Asia,0.0377555558601178,0.0796433398252359,2.15
2003,Europe & Central Asia,0.0376387861713282,0.0794017641280951,2.15
2004,Europe & Central Asia,0.0326821157260648,0.0689274762098969,2.15
2005,Europe & Central Asia,0.0327615211812466,0.0690647026935838,2.15
2006,Europe & Central Asia,0.02918739770391,0.0614813927603812,2.15
2007,Europe & Central Asia,0.0261853125610247,0.0550755354655801,2.15
2008,Europe & Central Asia,0.0231991937758253,0.0486882755383425,2.15
2009,Europe & Central Asia,0.0225251553384429,0.0471343605776504,2.15
2010,Europe & Central Asia,0.0222823516689665,0.046476461649691,2.15
2011,Europe & Central Asia,0.020686329101904,0.0430035567402427,2.15
2012,Europe & Central Asia,0.0199076042356097,0.041215929698805,2.15
2013,Europe & Central Asia,0.0182252912378214,0.0375565613131006,2.15
2014,Europe & Central Asia,0.0190818878711678,0.0391201458701837,2.15
2015,Europe & Central Asia,0.0172406213158869,0.0351581419161884,2.15
2016,Europe & Central Asia,0.0155579274936389,0.0315647676609728,2.15
2017,Europe & Central Asia,0.0154685805310129,0.0312521276929387,2.15
2018,Europe & Central Asia,0.0132545211502427,0.0266969201137894,2.15
2019,Europe & Central Asia,0.0130007636468455,0.0261149544646136,2.15
2020,Europe & Central Asia,0.0771616766718299,0.154705464392505,6.85
2020,Europe & Central Asia,0.0313525926630761,0.06286044597604,3.65
2020,Europe & Central Asia,0.0130870010190242,0.0262388099569702,2.15
2021,Europe & Central Asia,0.0725998868997341,0.145495558996129,6.85
2021,Europe & Central Asia,0.0298747756716744,0.0598712666348542,3.65
2021,Europe & Central Asia,0.0119946439624222,0.0240381562946836,2.15
2022,Europe & Central Asia,0.0753634580955133,0.151136589751666,6.85
2022,Europe & Central Asia,0.0317983478826167,0.0637695506570964,3.65
2022,Europe & Central Asia,0.0114046749880836,0.0228713454568468,2.15
2002,Latin America & Caribbean,0.0649386681221293,0.122160852493704,2.15
2003,Latin America & Caribbean,0.0657928604162115,0.122150278286694,2.15
2004,Latin America & Caribbean,0.0614637995886278,0.112664910562748,2.15
2005,Latin America & Caribbean,0.0596902066309906,0.10805739344943,2.15
2006,Latin America & Caribbean,0.0506778454853864,0.0906425487855725,2.15
2007,Latin America & Caribbean,0.0491924455368741,0.0869626033960496,2.15
2008,Latin America & Caribbean,0.046191677564784,0.0807379891838025,2.15
2009,Latin America & Caribbean,0.0437046125787461,0.075548374267627,2.15
2010,Latin America & Caribbean,0.0400025038592131,0.0683829788256455,2.15
2011,Latin America & Caribbean,0.037371749216522,0.0631683013760782,2.15
2012,Latin America & Caribbean,0.0318672725456316,0.053264930181888,2.15
2013,Latin America & Caribbean,0.0285762188119329,0.047248275396893,2.15
2014,Latin America & Caribbean,0.0268845896001034,0.0439822832308766,2.15
2015,Latin America & Caribbean,0.027428380036735,0.0444076289143595,2.15
2016,Latin America & Caribbean,0.0291716515167535,0.0467519093447813,2.15
2017,Latin America & Caribbean,0.0293886091596867,0.0466390441375377,2.15
2018,Latin America & Caribbean,0.028869802513742,0.0453922894188619,2.15
2019,Latin America & Caribbean,0.029369322395047,0.0457783024358336,2.15
2020,Latin America & Caribbean,0.208312394245767,0.322186497292595,6.85
2020,Latin America & Caribbean,0.0809656217906683,0.125225530532169,3.65
2020,Latin America & Caribbean,0.0335496334883824,0.0518895620119441,2.15
2021,Latin America & Caribbean,0.195741338743803,0.300758753714343,6.85
2021,Latin America & Caribbean,0.0751408889695214,0.115454815341997,3.65
2021,Latin America & Caribbean,0.0308877097466905,0.047459311089437,2.15
2022,Latin America & Caribbean,0.19169006218624,0.292661342029821,6.85
2022,Latin America & Caribbean,0.0733292993696139,0.111954949144767,3.65
2022,Latin America & Caribbean,0.0301868861982227,0.0460875985208351,2.15
2002,Middle East & North Africa,0.00975167176025951,0.0327512974402391,2.15
2003,Middle East & North Africa,0.00988647068474661,0.0326205530311133,2.15
2004,Middle East & North Africa,0.00917389765785567,0.0296925203838017,2.15
2005,Middle East & North Africa,0.00859373776689711,0.0272796504840564,2.15
2006,Middle East & North Africa,0.00844556418122756,0.0263004427868089,2.15
2007,Middle East & North Africa,0.00820412869838258,0.0250677743531596,2.15
2008,Middle East & North Africa,0.00800434955457058,0.0239978643749964,2.15
2009,Middle East & North Africa,0.00762585224649263,0.0224302452301065,2.15
2010,Middle East & North Africa,0.00639215371617316,0.0184310368294877,2.15
2011,Middle East & North Africa,0.00750046142329015,0.0212110475851073,2.15
2012,Middle East & North Africa,0.00752271013206148,0.0208717529410308,2.15
2013,Middle East & North Africa,0.0081938061746889,0.0222782034376557,2.15
2014,Middle East & North Africa,0.00979455445273236,0.0260874576021439,2.15
2015,Middle East & North Africa,0.0188653687864078,0.0492522774187944,2.15
2016,Middle East & North Africa,0.0216207895551107,0.0554116620653662,2.15
2017,Middle East & North Africa,0.0241484726234249,0.060840524069697,2.15
2018,Middle East & North Africa,0.030836586173872,0.0763763980904927,2.15
2019,Middle East & North Africa,0.0349388315964357,0.0850856065232842,2.15
2020,Middle East & North Africa,0.200977649240258,0.481815548154457,6.85
2020,Middle East & North Africa,0.0813843578405517,0.195107511369425,3.65
2020,Middle East & North Africa,0.0393119655298054,0.0942448888837843,2.15
2021,Middle East & North Africa,0.202273065502941,0.477798469315691,6.85
2021,Middle East & North Africa,0.0822821913867153,0.194362531653735,3.65
2021,Middle East & North Africa,0.0404706785729615,0.0955976428510063,2.15
2022,Middle East & North Africa,0.200596999422805,0.46684433335722,6.85
2022,Middle East & North Africa,0.0810049778505519,0.1885208402522,3.65
2022,Middle East & North Africa,0.0413143466756981,0.096149836176027,2.15
2002,Other High Income Countries,0.00482970123561586,0.00488877318645078,2.15
2003,Other High Income Countries,0.00561886681105935,0.00564726812532975,2.15
2004,Other High Income Countries,0.00547179781552646,0.00545983547433742,2.15
2005,Other High Income Countries,0.00553221615288986,0.0054782418300418,2.15
2006,Other High Income Countries,0.00508189470492132,0.00499043763916382,2.15
2007,Other High Income Countries,0.0050143304812985,0.00487873210379897,2.15
2008,Other High Income Countries,0.00521932953621582,0.00503084642488528,2.15
2009,Other High Income Countries,0.00528829901528043,0.00505393530435448,2.15
2010,Other High Income Countries,0.00520490101219928,0.00493822239557631,2.15
2011,Other High Income Countries,0.00585044186971227,0.00551418586189948,2.15
2012,Other High Income Countries,0.00605320901423649,0.00566809251982638,2.15
2013,Other High Income Countries,0.00667685052470408,0.00621317850889587,2.15
2014,Other High Income Countries,0.00715806357779708,0.00662163164997431,2.15
2015,Other High Income Countries,0.00778103474808448,0.00715635143539947,2.15
2016,Other High Income Countries,0.00675786468729564,0.00617984921940997,2.15
2017,Other High Income Countries,0.00760947104665165,0.00692014279308746,2.15
2018,Other High Income Countries,0.00658795628116798,0.00595950275273184,2.15
2019,Other High Income Countries,0.00659181105814965,0.00593322387813137,2.15
2020,Other High Income Countries,0.0156603464790819,0.0140549446059697,6.85
2020,Other High Income Countries,0.00931488972842365,0.0083599848393256,3.65
2020,Other High Income Countries,0.00680743615799041,0.00610957990214529,2.15
2021,Other High Income Countries,0.0150617402464702,0.0134981612470709,6.85
2021,Other High Income Countries,0.00915722240385711,0.00820659914192327,3.65
2021,Other High Income Countries,0.00665852572640162,0.00596729544209225,2.15
2022,Other High Income Countries,0.0148421216756589,0.0132717505747951,6.85
2022,Other High Income Countries,0.00825012774232058,0.00737722274476744,3.65
2022,Other High Income Countries,0.00664414157004639,0.00594115798456887,2.15
2002,South Asia,0.583414623157533,0.399033264684803,2.15
